"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint","celltype","sample","info"
"HALLMARK_MITOTIC_SPINDLE",0.00100375757194339,0.0167292928657232,0.45505986738723,0.715775355314181,1.41857580694024,199,"DOCK2;FGD4;NOTCH2;RASA1;CCDC88A;NEDD9;ARHGEF3;CNTRL;TRIO;AKAP13;NIN;SSH2;VCL;ROCK1;TIAM1;PREX1;NCK2;APC;TUBGCP3;NF1;RABGAP1;PDLIM5;CLASP1;CEP192;ITSN1;SOS1;RAB3GAP1;ABR;DOCK4;WASF2;CDK5RAP2;ARHGEF11;PCM1;STK38L;KIF1B;FGD6;HOOK3;ABI1;MYO1E;MYH9;DST;ARHGEF2;WASL;ARFGEF1;ABL1;RAPGEF6;DLG1;KIFAP3;KLC1;CLIP1;SEPTIN9;MYO9B;MARCKS;NUMA1;TUBGCP2;ARHGAP27;TLK1;PCGF5;RICTOR;ALMS1;ARHGAP4;CKAP5;TSC1;EPB41L2;PKD2;ARHGAP5;PCNT;LRPPRC;ARHGAP10;ARHGEF7;RANBP9;ALS2;MARK4;OPHN1;CEP250;RFC1;KNTC1;TBCD;PPP4R2;ARHGEF12;TUBD1;HDAC6;MYH10;BCL2L11;GSN;RASAL2;CLIP2;CEP57;TUBGCP5;PALLD","Immediately Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_MYC_TARGETS_V1",1.65594656222704e-10,8.2797328111352e-09,0.826657301178302,-0.823357032082796,-1.97329548541471,196,"RPS2;RPL34;RPS3;RPL18;RPS6;RPS5;RPL14;RPL6;RPLP0;RACK1;EEF1B2;RPL22;RPS10;PABPC1;PPIA;HSP90AB1;NPM1;HNRNPA1;SET;HNRNPC;GSPT1;EIF4A1;PSMA7;NAP1L1;SNRPD2;DDX21;SRSF7;XRCC6;SLC25A3;RAN;LSM7;HSPE1;SNRPD1;PSMB3;TRA2B;EIF1AX;PSMA2;UBE2L3;COX5A;RRM1;PTGES3;CTPS1;PSMD8;SNRPA1;PHB2;SRSF3;PSMD7;PPM1G;EIF3D;YWHAQ;NHP2;TUFM;SERBP1;MCM6;SNRPB2;C1QBP;EIF4H;SNRPG;DDX18;LDHA;RNPS1;ERH;NDUFAB1;CCT4;FBL;IFRD1;PHB;PCBP1;SSBP1;CYC1;RANBP1;CCT2;PGK1;LSM2;CCT7;MRPL23;SSB;ILF2;DUT;KPNA2;SRSF2;ODC1;MRPL9;TXNL4A;EIF4E;PSMB2;ETF1;PCNA;EIF3B;PSMC4;SRM;PRPF31;IMPDH2;PSMA4","Immediately Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",8.07401086008115e-05,0.00201850271502029,0.538434096309916,-0.679771917145514,-1.62204617051134,200,"COX4I1;COX7C;ATP5F1E;UQCRB;ATP5MG;SLC25A6;COX6A1;COX6C;NDUFA4;ATP5MC2;ATP6V1G1;LDHB;COX7A2;COX6B1;COX8A;UQCR11;ATP5F1D;COX5B;NDUFA1;NDUFB8;HSPA9;NDUFC2;NDUFB7;UQCRH;ATP5MC3;ATP6V0C;SLC25A3;NDUFB2;SLC25A5;ATP5PO;COX7B;GPX4;CYCS;ATP5MF;UQCR10;COX5A;NDUFS6;NDUFS7;ATP5ME;NDUFA3;UQCRQ;PHB2;UQCRC2;UQCRFS1;ATP6V0E1;MDH2;ATP5PF;NDUFA2;NDUFV2;ISCA1;NDUFA6;NDUFB4;ATP6V1F;ATP5MC1;LDHA;ATP5F1A;TOMM22;NDUFAB1;ATP5F1B;ATP6V0B;ECH1;MDH1;ATP5PD;BAX;ETFB;MGST3;ISCU;SUPV3L1;SDHB;CYC1;VDAC2;NDUFS8;MRPS12;HSD17B10;NDUFA7;TIMM13;NDUFC1;POLR2F;NDUFB3;SURF1;NDUFA5;MRPL11;NDUFV1;MRPL34;ATP5PB;TIMM17A;NDUFB6;TIMM10;NDUFS3;MRPS15;UQCRC1;ATP5F1C;IDH3G;COX7A2L;IDH2;ECHS1;DLST;NDUFB1;NDUFA9;SDHA;TIMM9;NDUFA8;SLC25A11;GRPEL1","Immediately Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_UV_RESPONSE_DN",0.00232601158908429,0.0290751448635536,0.431707695803346,0.723897287547483,1.37759592478312,140,"ATP2B1;NOTCH2;RUNX1;PTEN;NEK7;SIPA1L1;INPP4B;MAPK14;CELF2;ADD3;PRKCE;MAP2K5;IGF1R;ATXN1;SMAD3;WDR37;PDLIM5;ZMIZ1;ATRN;SPOP;ACVR2A;ATP2C1;MGMT;NIPBL;SYNE1;LPAR1;BCKDHB;ATRX;CDK13;ANXA2;PHF3;DLG1;GCNT1;ANXA4;PRKCA;TENT4A;PRKAR2B;RXRA;VAV2;MIOS;ATP2B4;MRPS31;DYRK1A;BMPR1A;TGFBR2;NR3C1;ARHGEF9;AGGF1;PTPRM;PIK3CD;PEX14;TOGARAM1;AMPH;AKT3;LAMC1;DMAC2L;ITGB3;SDC2","Immediately Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_E2F_TARGETS",0.000987593461015729,0.0148224531713404,0.45505986738723,-0.696557505271521,-1.55230917550576,198,"NAP1L1;PSIP1;SNRPB;RAN;CDKN1B;GSPT1;HMGB2;RAD21;MCM6;SMC3;LYAR;ANP32E;DUT;ATAD2;CNOT9;TMPO;XRCC6;NASP;MYC;RANBP1;NUP153;STAG1;LBR;STMN1;PCNA;DCK;EED;ASF1A;XPO1;CTPS1;RBBP7;CTCF;NUP205;PRKDC;LMNB1;EXOSC8;SMC1A;PRIM2;POLE4;RFC1;MLH1;SRSF1;MTHFD2;NAA38;USP1;PRPS1;PHF5A;CBX5;POP7;JPT1;NME1;HUS1;NUDT21;PRDX4;UBE2S;HELLS;TUBB;PDS5B;RAD51C;RPA1;MCM3;PPP1R8;PTTG1;SMC4;PA2G4;EIF2S1;CKS1B;DEK;SYNCRIP;RPA2;SRSF2;CDK4;BARD1;MAD2L1;RRM2;NOLC1;SSRP1;CDKN2C;CHEK1;MRE11;RPA3;CENPM","Long-term Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00571490448163272,0.047624204013606,0.407017918923954,0.663764906186543,1.43466402932648,191,"GAB2;CD44;MED13L;RAB31;NCOR2;RRP12;SVIL;JAK2;FOS;BCL2;TIAM1;KDM4B;BCL11B;ITPK1;NRIP1;FAM102A;AFF1;TMEM164;SH3BP5;B4GALT1;KLF4;IGF1R;RETREG1;KLF10;ABAT;RARA;PAPSS2;MYOF;RPS6KA2;PPIF;FKBP5;CHPT1;ADCY9;SIAH2;CBFA2T3;NADSYN1;SLC37A1;ABHD2;BLVRB;SLC24A3;ALDH3B1;INPP5F;TGIF2;ISG20L2;RBBP8","Long-term Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00118579625370723,0.0148224531713404,0.45505986738723,0.702859703183057,1.52078822394389,193,"NAMPT;ATP2B1;LYN;CSF3R;PTPRE;AHR;PIK3R5;TLR2;PLAUR;CYBB;IFNGR2;LCP2;HIF1A;SEMA4D;RNF144B;KLF6;TNFRSF1B;RIPK2;PSEN1;CD14;NLRP3;SGMS2;AQP9;C5AR1;IL1B;NFKB1;IL15;GCH1;KIF1B;IRF1;MXD1;PTAFR;CXCL8;ACVR1B;FPR1;IL4R;SLC31A2;ITGA5;GPR132;ICAM1;ABCA1;LPAR1;P2RX4;P2RX7;EREG;ATP2A2;NOD2;LDLR;STAB1;CD82;PDE4B;GABBR1;IL10RA;NFKBIA;RAF1;GNA15;PROK2;MSR1;SLC31A1;BEST1;HBEGF;IL15RA;CALCRL;TLR1;SLC7A1;PTGIR;MEFV","Long-term Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_MYC_TARGETS_V1",4.12124666601058e-08,2.06062333300529e-06,0.719512826338911,-0.832598146167875,-1.85569676675181,196,"RPS3;RPL18;RPS2;RPS6;RPS5;RPL34;RPL14;RPL6;EEF1B2;RPLP0;RACK1;RPL22;HNRNPC;RPS10;PPIA;NPM1;HSP90AB1;HNRNPA2B1;NAP1L1;HNRNPA1;SET;HNRNPR;SNRPD2;SLC25A3;SSBP1;RAN;SERBP1;GSPT1;HSPE1;PSMA7;LSM7;SRSF3;CNBP;PSMA2;HNRNPA3;MCM6;COX5A;PTGES3;SNRPD1;G3BP1;PSMB3;ERH;C1QBP;SNRPB2;DUT;DDX18;SRSF7;SNRPG;BUB3;PSMD8;NHP2;PHB2;PPM1G;NDUFAB1;RRM1;LDHA;CCT3;PSMB2;PSMA4;EIF4G2;HSPD1;XRCC6;MYC;CCT7;RANBP1;PSMD7;ODC1;SSB;NCBP1;TUFM;SF3B3;EIF3D;PHB;CCT4;PCNA;MRPL9;ABCE1;CYC1;LSM2;ACP1;GNL3;XPO1;COPS5;CTPS1;EIF4E;PSMD14;EIF2S2;SNRPA1;APEX1;EIF4H;MRPL23;SNRPD3;TARDBP;PSMC4;TCP1;SRSF1;NCBP2;ILF2;USP1;SNRPA;FBL;PWP1;CLNS1A;CBX3;CANX","Long-term Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.47905107690943e-06,0.000186976276922736,0.610526878385931,-0.776879038368212,-1.7291860249329,200,"COX7C;COX4I1;NDUFA4;COX6C;LDHB;UQCRB;COX6A1;ATP5F1E;COX7A2;ATP6V1G1;ATP5MG;ATP5MC2;COX8A;COX6B1;NDUFV2;COX5B;ATP5MC3;SLC25A6;NDUFA1;NDUFB8;UQCR11;SLC25A3;NDUFB2;NDUFC2;COX7B;ATP5F1D;UQCRH;NDUFB7;ATP5PO;LRPPRC;SLC25A5;ATP5PF;ATP5F1C;ATP6V0E1;ATP5MF;UQCR10;MDH1;NDUFB4;UQCRFS1;COX5A;ATP5F1A;GPX4;ATP5MC1;ATP5PD;MDH2;ISCA1;NDUFS7;CYCS;NDUFA3;UQCRQ;MGST3;ECH1;ATP5PB;NDUFA2;PHB2;NDUFAB1;ATP5F1B;NDUFA7;NDUFA6;LDHA;NDUFA5;ATP6V1F;ISCU;UQCRC2;TOMM22;NDUFC1;MRPS30;ATP6V1H;BAX;SUPV3L1;NDUFS6;NDUFB3;HSD17B10;NDUFS4;NDUFB1;SUCLG1;NDUFS8;ETFB;SUCLA2;ATP5ME;DLD;CYC1;TIMM9;MRPS12;NDUFA9;NDUFB6;MRPL34;VDAC2;NDUFV1;ATP6V1E1;MRPS22;COX7A2L;SDHA;COX17;NDUFB5;MRPL11;SURF1;PDHB;POLR2F;TIMM13;OPA1;TIMM8B;TIMM10;IDH3G;NDUFA8;ATP6V0C;NDUFS1;HSPA9;MRPS15;SDHD;NDUFS2;ACAA2;NDUFS3;VDAC3;CYB5A;ECHS1;PHYH;BDH2;FH;COX11","Long-term Post-flight","PBMC","PBMC","Hallmark"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00463729007082911,0.0463729007082911,0.407017918923954,0.671234249198192,1.46158973355146,197,"NAMPT;ATP2B1;PTPRE;SAT1;KYNU;TNFAIP2;TLR2;PLAUR;CD44;IFNGR2;CD83;SLC2A3;MCL1;TANK;SMAD3;DENND5A;KLF6;TNFAIP8;RIPK2;IRS2;FOS;FOSB;BCL6;NFAT5;PLEK;SGK1;IL1B;NFKB1;SQSTM1;GCH1;MARCKS;DUSP1;PER1;IRF1;MXD1;NFIL3;PFKFB3;ETS2;TRIB1;B4GALT1;SOD2;KLF4;CCNL1;FOSL1;KLF10;ICAM1;ABCA1;CFLAR;RELB;PDLIM5;KDM6B;MAP2K3;EGR1;G0S2;CEBPD;LDLR;EHD1;PDE4B;IER3;PPP1R15A;B4GALT5;NFKB2;RNF19B;DRAM1;NINJ1;NFKBIA;STAT5A;TNIP1;FOSL2;SLC2A6;PTGS2;HBEGF;SLC16A6;ATF3;IL15RA","Long-term Post-flight","PBMC","PBMC","Hallmark"
