"Gene","Cell_Type","log2FC_R1_vs_Preflight","log2FC_R45_R82_vs_Preflight","pval_R1","padj_R1","pval_R45_R82","padj_R45_R82","In_OncoKB","In_HRR","In_NHEJ","In_Key_Cancer"
"BRCA1","pbmc",0.0514221447210551,0.0166770697521689,2.76718646657944e-56,8.46786730637974e-52,9.68843348332869e-35,2.96475753023341e-30,TRUE,TRUE,FALSE,TRUE
"BRCA1","CD4_T",0.0448028237341965,NA,7.12500729672084e-16,2.18032348286954e-11,NA,NA,TRUE,TRUE,FALSE,TRUE
"BRCA1","CD8_T",0.0532293768891694,0.0134032176533709,1.31102535008092e-08,0.000401186867378262,1.20982714097367e-05,0.370219203409353,TRUE,TRUE,FALSE,TRUE
"BRCA1","other_T",0.0156115461024593,0.0113205443046539,0.109030028215502,1,0.0867857178823544,1,TRUE,TRUE,FALSE,TRUE
"BRCA1","B",0.083042473226976,0.0245181010553442,4.92411194504317e-14,1.50682749630266e-09,2.42750516498458e-06,0.0742840855536932,TRUE,TRUE,FALSE,TRUE
"BRCA1","NK",0.0574868759826376,0.0191990747248214,1.55537179604838e-05,0.475959323308766,0.00397064575125589,1,TRUE,TRUE,FALSE,TRUE
"BRCA1","CD14_Mono",0.0541616646578404,0.0217044447277106,5.84151926481355e-09,0.000178756331022559,0.000397828105629969,1,TRUE,TRUE,FALSE,TRUE
"BRCA1","CD16_Mono",0.0059447442428824,0.00255052912795231,0.955702691495601,1,0.478066990639071,1,TRUE,TRUE,FALSE,TRUE
"BRCA1","DC",0.0583503658180182,0.0334447882683366,0.0543172049994916,1,0.0181917766837123,1,TRUE,TRUE,FALSE,TRUE
"BRCA1","other",0.00819951975857652,0.0116711589777126,0.533183021959795,1,0.0159976589333145,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","pbmc",0.0386813842606431,-0.000454144394384598,9.85167808943779e-21,3.01471201214886e-16,0.436722088135473,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","CD4_T",0.0312316629468046,NA,1.18868931635422e-06,0.0363750817697554,NA,NA,TRUE,TRUE,FALSE,TRUE
"BRCA2","CD8_T",0.0124450277847668,-0.00383587725353329,0.532853275619001,1,0.283729047433759,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","other_T",0.0474770477905959,-0.00421682323800121,0.00933734332146985,1,0.967733267965805,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","B",0.0802463007227385,0.000452032236186353,1.67514158722649e-05,0.512610077107179,0.877843928343329,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","NK",0.00195812461818113,0.00128135367973996,0.636551497259263,1,0.898654320049973,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","CD14_Mono",0.0657827805322247,0.0167896261143474,2.89705644976544e-11,8.86528244192723e-07,0.00101045134301426,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","CD16_Mono",0.0271743790332672,-0.00778823269672348,0.737325242190073,1,0.378519153855003,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","DC",-0.12000138212675,-0.0406991828813811,0.0648195539773482,1,0.0495202450211675,1,TRUE,TRUE,FALSE,TRUE
"BRCA2","other",0.00178035136740382,-0.00864130743165612,0.492888552659038,1,0.627829365543192,1,TRUE,TRUE,FALSE,TRUE
"CDKN2A","pbmc",0.016181092374783,-0.00823809093932393,2.4533893673968e-10,7.50761680317094e-06,7.5825269559671e-14,2.32032907379549e-09,TRUE,FALSE,FALSE,TRUE
"CDKN2A","CD4_T",0.00584353784439706,NA,0.0612071416027942,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"CDKN2A","CD8_T",0.0142261756709782,-0.01519867982383,0.36633357297731,1,2.10919557471978e-07,0.00645434937820001,TRUE,FALSE,FALSE,TRUE
"CDKN2A","other_T",0.0385153689875065,-0.00470299926240079,0.0105133559265698,1,0.252319402031384,1,TRUE,FALSE,FALSE,TRUE
"CDKN2A","B",0.0505713319905691,-0.000984300969859651,8.21350228034379e-09,0.0002513413832808,0.908503756185252,1,TRUE,FALSE,FALSE,TRUE
"CDKN2A","NK",0.0230879114201882,-0.00422747409085003,0.0153558843511629,1,0.219910926405279,1,TRUE,FALSE,FALSE,TRUE
"CDKN2A","CD14_Mono",0.0211012745875386,0.000782333100729921,0.000342904451326818,1,0.762297267084374,1,TRUE,FALSE,FALSE,TRUE
