"Gene","Cell_Type","log2FC_R1_vs_Preflight","log2FC_R45_R82_vs_Preflight","pval_R1","padj_R1","pval_R45_R82","padj_R45_R82","In_OncoKB","In_HRR","In_NHEJ","In_Key_Cancer"
"CDKN2A","CD16_Mono",0.0225226138484686,-0.0152603268113815,0.185375292418489,1,0.0324635049503283,1,TRUE,FALSE,FALSE,TRUE
"CDKN2A","DC",-0.00484939966139591,-0.00139384102517679,0.669512779455621,1,0.89278890312375,1,TRUE,FALSE,FALSE,TRUE
"CDKN2A","other",-0.00984778595634721,-0.00222655829707902,0.429351048211768,1,0.882985763227701,1,TRUE,FALSE,FALSE,TRUE
"CREBBP","pbmc",0.133288497921423,0.239042059109196,5.90156399309817e-61,1.80593759752797e-56,0,0,TRUE,TRUE,FALSE,TRUE
"CREBBP","CD4_T",0.101649956627159,NA,6.41213356974773e-13,1.9621769936785e-08,NA,NA,TRUE,TRUE,FALSE,TRUE
"CREBBP","CD8_T",0.0819971537218991,0.199166414352643,0.00102472178698582,1,1.03595633280877e-66,3.17012997402811e-62,TRUE,TRUE,FALSE,TRUE
"CREBBP","other_T",0.119515703468579,0.138713340197538,0.000859572998747952,1,3.88078915084846e-13,1.18756028805114e-08,TRUE,TRUE,FALSE,TRUE
"CREBBP","B",0.0809774162809994,0.212827764586666,7.22333539289275e-05,1,3.33583855677363e-54,1.0207999567583e-49,TRUE,TRUE,FALSE,TRUE
"CREBBP","NK",0.118047885391397,0.178928331822175,0.000156629894729919,1,5.47586067580324e-28,1.67566812540255e-23,TRUE,TRUE,FALSE,TRUE
"CREBBP","CD14_Mono",0.191459627865205,0.292306646807577,1.08138894288376e-22,3.3091583041186e-18,1.24262647891746e-86,3.80256128813533e-82,TRUE,TRUE,FALSE,TRUE
"CREBBP","CD16_Mono",0.0734657493724766,0.32305559901987,0.478042716781124,1,7.4321398679342e-27,2.27430912098655e-22,TRUE,TRUE,FALSE,TRUE
"CREBBP","DC",0.0406996358007117,0.299358432299826,0.633722316356733,1,9.58442745168971e-22,2.93293064449157e-17,TRUE,TRUE,FALSE,TRUE
"CREBBP","other",0.0696462531779589,0.293638079393069,0.000149453543524811,1,4.2880052465306e-34,1.31217248549083e-29,TRUE,TRUE,FALSE,TRUE
"ERCC2","pbmc",0.00464662021170944,0.00945103500635326,0.0400230525609877,1,7.15596657009157e-22,2.18979733011372e-17,TRUE,FALSE,FALSE,TRUE
"ERCC2","CD4_T",0.00716144173479995,NA,0.0374560204255782,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"ERCC2","CD8_T",0.00570209048226156,0.00794590018205768,0.632483333277294,1,0.0017338523303205,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","other_T",0.00404339644918465,-4.65468797721351e-05,0.628014872423533,1,0.937119829139553,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","B",0.0126492297767903,0.0137295423443879,0.0587078574410466,1,1.13414932998763e-05,0.347061036469515,TRUE,FALSE,FALSE,TRUE
"ERCC2","NK",-0.00589745403908974,0.0105999414922068,0.568805317007309,1,0.0172300439713409,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","CD14_Mono",-0.00984570291182917,0.000810728230895522,0.169336452649142,1,0.699495256184007,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","CD16_Mono",0.00257812520071634,0.025728862783518,0.830162088348936,1,0.00259037007684354,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","DC",-0.0336083926428197,-0.00789122253444497,0.200708163421951,1,0.374513669240288,1,TRUE,FALSE,FALSE,TRUE
"ERCC2","other",-0.013115499790258,-0.00549427213098981,0.399950409760391,1,0.690596309502106,1,TRUE,FALSE,FALSE,TRUE
"JAK1","pbmc",-0.14945305264773,-0.200244628807993,3.61761578630628e-37,1.10702660676759e-32,0,0,TRUE,FALSE,FALSE,TRUE
"JAK1","CD4_T",0.028332976149275,NA,0.0274320340740567,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"JAK1","CD8_T",-0.00501763826480661,-0.0532094323180836,0.831115737574795,1,4.26547494697403e-08,0.00130527798852352,TRUE,FALSE,FALSE,TRUE
"JAK1","other_T",-0.071635942559682,-0.0898045286836719,0.127496288763681,1,2.18658195085123e-06,0.0669115942779984,TRUE,FALSE,FALSE,TRUE
"JAK1","B",-0.0360521902649733,-0.0670621245265104,0.518997921465664,1,7.86777495110781e-05,1,TRUE,FALSE,FALSE,TRUE
"JAK1","NK",-0.026443946981578,-0.121357598077414,0.527964910856487,1,2.00948978733741e-12,6.1492396982312e-08,TRUE,FALSE,FALSE,TRUE
"JAK1","CD14_Mono",-0.0664255812034829,-0.0121549914952336,0.0329331326706991,1,0.700859418977615,1,TRUE,FALSE,FALSE,TRUE
"JAK1","CD16_Mono",0.018271523814358,0.0479319435039407,0.805458551134399,1,0.0405852101845749,1,TRUE,FALSE,FALSE,TRUE
"JAK1","DC",-0.0962287462356604,0.0345644511900488,0.325175931616811,1,0.245590428359327,1,TRUE,FALSE,FALSE,TRUE
"JAK1","other",0.160368887808574,-0.0272754349206967,0.00226443279853183,1,0.806964200691945,1,TRUE,FALSE,FALSE,TRUE
"JAK2","pbmc",0.735983255520225,0.216544349342139,0,0,0,0,TRUE,FALSE,FALSE,TRUE
"JAK2","CD4_T",0.162649388649565,NA,8.51833685930184e-31,2.60669626231495e-26,NA,NA,TRUE,FALSE,FALSE,TRUE
"JAK2","CD8_T",0.229008571812937,0.0240316549883996,6.78472905966925e-20,2.07619493954939e-15,1.53567124113663e-05,0.46993075650022,TRUE,FALSE,FALSE,TRUE
"JAK2","other_T",0.364499142687102,0.00322007530960211,1.3922245354107e-14,4.26034630081028e-10,0.581963483453496,1,TRUE,FALSE,FALSE,TRUE
"JAK2","B",0.362171278291191,0.0664032990258402,6.67397380704458e-35,2.04230272469371e-30,6.42781004363535e-10,1.96697415145285e-05,TRUE,FALSE,FALSE,TRUE
"JAK2","NK",0.371432102939755,0.0480268114016267,3.3591521046999e-25,1.02793413555922e-20,0.000156824304438469,1,TRUE,FALSE,FALSE,TRUE
"JAK2","CD14_Mono",0.669269541000061,-0.270332469860766,2.02330256771764e-95,6.19150818747276e-91,3.03221035161686e-12,9.27886689698275e-08,TRUE,FALSE,FALSE,TRUE
"JAK2","CD16_Mono",0.873156633077193,-0.000457686562065351,4.23947561183481e-23,1.29732193197757e-18,0.504380098582303,1,TRUE,FALSE,FALSE,TRUE
"JAK2","DC",0.830328005584829,0.0307597343586934,1.2230514398899e-13,3.74265971120709e-09,0.144923893080069,1,TRUE,FALSE,FALSE,TRUE
"JAK2","other",0.476673905769418,0.334960746735106,0.0581138315170551,1,1.91434961034463e-23,5.8581012426156e-19,TRUE,FALSE,FALSE,TRUE
"JAK3","pbmc",0.012839065652414,0.0281063254669612,0.00235108292487653,1,1.07770117968388e-22,3.29787337995064e-18,TRUE,FALSE,FALSE,TRUE
"JAK3","CD4_T",0.051300883584961,NA,1.68921749374216e-06,0.051691744526004,NA,NA,TRUE,FALSE,FALSE,TRUE
"JAK3","CD8_T",0.0496320090741144,0.0579131481720524,0.00392433609644904,1,7.41176038198341e-12,2.26807279449074e-07,TRUE,FALSE,FALSE,TRUE
"JAK3","other_T",0.0587194828979983,0.0283367523787464,0.043568099011091,1,0.0031157029193322,1,TRUE,FALSE,FALSE,TRUE
"JAK3","B",0.00173305811434477,0.0297565744933363,0.574615973737091,1,0.000128123359893471,1,TRUE,FALSE,FALSE,TRUE
"JAK3","NK",0.0501366703012717,0.0650096704082274,0.00201242642147431,1,4.79297129768515e-11,1.46669714680463e-06,TRUE,FALSE,FALSE,TRUE
"JAK3","CD14_Mono",-0.035861921839899,0.0254200531458184,0.167554875729262,1,2.87454101556665e-05,0.879638296173551,TRUE,FALSE,FALSE,TRUE
"JAK3","CD16_Mono",-0.0153054514769585,0.0265147242176687,0.730535669231457,1,0.144193579446606,1,TRUE,FALSE,FALSE,TRUE
"JAK3","DC",-0.0475146269230781,0.0548628883385444,0.386524433315505,1,0.0016676359290439,1,TRUE,FALSE,FALSE,TRUE
"JAK3","other",0.0788409608808954,0.05184507754632,0.00461524536417284,1,4.79656261125611e-07,0.0146779612467048,TRUE,FALSE,FALSE,TRUE
"KRAS","pbmc",0.0164453904684218,-0.0372124622276548,0.00438998924460387,1,3.90174030432679e-10,1.19397155052704e-05,TRUE,FALSE,FALSE,TRUE
"KRAS","CD4_T",-0.0264637328097459,NA,0.379553919535175,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"KRAS","CD8_T",-0.065563697616394,-0.11902724125365,0.0248759101173097,1,9.02765737281096e-34,2.76255343265388e-29,TRUE,FALSE,FALSE,TRUE
"KRAS","other_T",-0.00413464704040251,-0.0658004449202215,0.984564809730279,1,4.58735009994868e-05,1,TRUE,FALSE,FALSE,TRUE
"KRAS","B",-0.100003796714034,-0.118355806427654,0.00107013254037481,1,6.35268279051133e-16,1.94398446072437e-11,TRUE,FALSE,FALSE,TRUE
"KRAS","NK",-0.00731237497148779,-0.0560362409116248,0.965587736909079,1,0.000430157673884817,1,TRUE,FALSE,FALSE,TRUE
"KRAS","CD14_Mono",0.0576170472010108,-0.0226594527475368,0.00143672975709112,1,0.496819359539218,1,TRUE,FALSE,FALSE,TRUE
"KRAS","CD16_Mono",-0.0815691270214655,-0.112050400162013,0.240077315282727,1,0.0016744721829575,1,TRUE,FALSE,FALSE,TRUE
"KRAS","DC",-0.0245793503250214,-0.0520107487354874,0.663257863740152,1,0.062603849834542,1,TRUE,FALSE,FALSE,TRUE
"KRAS","other",0.158890075150502,0.0571648404733756,0.000290273227313624,1,3.52787970710899e-05,1,TRUE,FALSE,FALSE,TRUE
"MTOR","pbmc",0.0743623784919813,0.0255777036874918,1.83046461992155e-32,5.60140478342194e-28,7.50404298667137e-25,2.29631219435131e-20,TRUE,FALSE,FALSE,TRUE
"MTOR","CD4_T",0.0607062417094857,NA,2.87604078091058e-09,8.80097239366446e-05,NA,NA,TRUE,FALSE,FALSE,TRUE
"MTOR","CD8_T",0.0908637476416066,0.0292221947742028,2.05689056190984e-07,0.0062942908085003,0.000125802469299599,1,TRUE,FALSE,FALSE,TRUE
"MTOR","other_T",0.137665985716714,0.0312607662662179,0.000122396297198061,1,0.00995516922806958,1,TRUE,FALSE,FALSE,TRUE
"MTOR","B",0.0910360200896345,0.0368672914354583,1.2163813899061e-06,0.0372224869125165,9.50626521509004e-06,0.29090122184697,TRUE,FALSE,FALSE,TRUE
"MTOR","NK",0.155599260065683,0.0307854972318676,2.53445759206665e-08,0.000775569367748316,0.00354425817378684,1,TRUE,FALSE,FALSE,TRUE
"MTOR","CD14_Mono",0.0416139298510644,0.0207052976353815,0.00119092749387571,1,0.00282150687250317,1,TRUE,FALSE,FALSE,TRUE
"MTOR","CD16_Mono",-0.0264998399347715,0.0428856337120332,0.606866124722621,1,0.0600793038694681,1,TRUE,FALSE,FALSE,TRUE
"MTOR","DC",0.09879236113255,0.0730277808537756,0.256182416348963,1,0.00215476677971591,1,TRUE,FALSE,FALSE,TRUE
"MTOR","other",0.113091169016928,0.0742967143640857,0.00141967050088199,1,3.09842476533316e-09,9.48148962439599e-05,TRUE,FALSE,FALSE,TRUE
"PIK3CA","pbmc",0.0465274800630063,0.00718692198223791,6.02194389050308e-06,0.184277504993285,0.00075386592943284,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","CD4_T",0.0687861425432378,NA,0.00257236620660381,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"PIK3CA","CD8_T",0.0310129245378071,0.0310985758772755,0.405307937135564,1,0.0505020148947652,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","other_T",0.217322718493649,0.0806515621536525,9.66981996070804e-06,0.295906160617627,0.000321344772682103,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","B",0.0257355384460046,-0.0159101235633803,0.226284179152023,1,0.363956812190845,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","NK",0.17533966634653,0.0631161354591678,0.000159464927281409,1,0.000372166980979391,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","CD14_Mono",0.112280987707164,0.129434071740426,4.16055045702411e-07,0.0127317004535395,1.06769967221858e-20,3.26726776695607e-16,TRUE,FALSE,FALSE,TRUE
"PIK3CA","CD16_Mono",0.0332871089874459,0.0945117974409549,0.532533769179579,1,0.000810623044101986,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","DC",0.00564580117129471,0.0712495191628761,0.680178559625426,1,0.017414350805955,1,TRUE,FALSE,FALSE,TRUE
"PIK3CA","other",0.257058367042335,0.140560497183821,2.55320290027118e-06,0.0781305619511983,7.14770760558728e-14,2.18727000438576e-09,TRUE,FALSE,FALSE,TRUE
"POLE","pbmc",0.0244223446877501,0.0133389367135621,3.07386445584534e-14,9.40633262133232e-10,9.53406881349757e-21,2.91752039761839e-16,TRUE,TRUE,FALSE,TRUE
"POLE","CD4_T",0.0228418964340566,NA,4.09948031350488e-05,1,NA,NA,TRUE,TRUE,FALSE,TRUE
"POLE","CD8_T",0.014511063228728,0.00733154142945888,0.114878353957801,1,0.0196284522753702,1,TRUE,TRUE,FALSE,TRUE
"POLE","other_T",0.00902185585272387,0.0137624529412669,0.338619027208295,1,0.0120700155651085,1,TRUE,TRUE,FALSE,TRUE
"POLE","B",0.0444626079846104,0.00703533876768478,1.23653347444438e-05,0.378391608514723,0.0721403859808572,1,TRUE,TRUE,FALSE,TRUE
"POLE","NK",0.0161065237979328,0.0147681543991725,0.223099517506971,1,0.020009520823649,1,TRUE,TRUE,FALSE,TRUE
"POLE","CD14_Mono",0.00946807370529096,0.00631116650852977,0.209714728938262,1,0.184870783945032,1,TRUE,TRUE,FALSE,TRUE
"POLE","CD16_Mono",0.0457286812365811,0.0309141176055723,0.0697090869871375,1,0.0467111630338956,1,TRUE,TRUE,FALSE,TRUE
"POLE","DC",0.0310443547791217,0.0139214162830234,0.448790329705153,1,0.502200787541696,1,TRUE,TRUE,FALSE,TRUE
"POLE","other",0.0332116602827026,0.0210279711367412,0.0122976685583487,1,0.00126930246223881,1,TRUE,TRUE,FALSE,TRUE
"PTEN","pbmc",0.442254434730787,0.127413006279593,0,0,1.71414181255087e-226,5.24544536058692e-222,TRUE,FALSE,FALSE,TRUE
"PTEN","CD4_T",0.328500236041999,NA,9.47956098137392e-73,2.90084045591023e-68,NA,NA,TRUE,FALSE,FALSE,TRUE
"PTEN","CD8_T",0.333379622630596,0.0703327568987659,1.44552707204671e-29,4.42345739317013e-25,4.60169478445066e-11,1.40816462098975e-06,TRUE,FALSE,FALSE,TRUE
"PTEN","other_T",0.365432308101701,0.0443074302432354,4.14514173354406e-14,1.26845482188182e-09,0.00434250364480584,1,TRUE,FALSE,FALSE,TRUE
"PTEN","B",0.472492068444166,0.0900623042892337,2.71490850021256e-41,8.30789150150046e-37,7.59519045480405e-13,2.32420423107459e-08,TRUE,FALSE,FALSE,TRUE
"PTEN","NK",0.199711110080848,-0.0212749395877929,4.73457553145982e-07,0.0144882745838202,0.767370852085598,1,TRUE,FALSE,FALSE,TRUE
"PTEN","CD14_Mono",0.469897283370491,0.0338188167423981,7.7484175175704e-68,2.37109324455172e-63,9.44751424415664e-07,0.0289103383385437,TRUE,FALSE,FALSE,TRUE
"PTEN","CD16_Mono",0.470405660517557,0.0932488512452841,7.29983847895904e-10,2.23382357294626e-05,0.000113494083287664,1,TRUE,FALSE,FALSE,TRUE
"PTEN","DC",0.238609119856629,-0.106195671981398,0.00582911679866925,1,0.00446067762038016,1,TRUE,FALSE,FALSE,TRUE
"PTEN","other",0.221448053033906,0.103179727500493,2.39800643047297e-06,0.0733813947789033,1.29440658483168e-09,3.96101359024343e-05,TRUE,FALSE,FALSE,TRUE
"RARA","pbmc",0.0590525540184549,0.0636117795990522,1.88317499020525e-67,5.76270378752709e-63,7.28022487925899e-300,2.22782161530204e-295,TRUE,FALSE,FALSE,TRUE
"RARA","CD4_T",0.0141873832860828,NA,0.00273323828943224,1,NA,NA,TRUE,FALSE,FALSE,TRUE
"RARA","CD8_T",0.00960744977296927,0.0161404773805171,0.146916819673649,1,1.14255161949111e-07,0.00349632221080475,TRUE,FALSE,FALSE,TRUE
"RARA","other_T",0.00546504279608642,0.00742032883829064,0.854256627295379,1,0.253356763363471,1,TRUE,FALSE,FALSE,TRUE
"RARA","B",0.00363042966921776,0.0316358295074022,0.578584500580476,1,9.49176497591203e-10,2.90457500027884e-05,TRUE,FALSE,FALSE,TRUE
"RARA","NK",0.0158252387122651,0.0150212295452838,0.124494107088217,1,0.00394199856503646,1,TRUE,FALSE,FALSE,TRUE
"RARA","CD14_Mono",0.0586378745880641,0.0334386750860181,7.67130600986202e-06,0.234749635207788,0.000569257174443892,1,TRUE,FALSE,FALSE,TRUE
"RARA","CD16_Mono",-0.059709693057726,0.0328024457318121,0.166605108203439,1,0.211977962198915,1,TRUE,FALSE,FALSE,TRUE
"RARA","DC",0.0260556387629342,-0.000684673703570643,0.552376206116944,1,0.81120519011756,1,TRUE,FALSE,FALSE,TRUE
"RARA","other",-0.00210519706110474,0.0574654781290292,0.374486837495617,1,1.07935021903551e-07,0.00330291960527055,TRUE,FALSE,FALSE,TRUE
"STAT3","pbmc",-0.214691670528117,0.0470660524193812,3.27277279833601e-51,1.0015012040188e-46,3.78768180156175e-42,1.15906850809591e-37,TRUE,FALSE,FALSE,TRUE
"STAT3","CD4_T",-0.319089346595475,NA,5.68715299608828e-43,1.74032568833297e-38,NA,NA,TRUE,FALSE,FALSE,TRUE
"STAT3","CD8_T",-0.238953412363008,0.0266655784182029,5.48296516604732e-11,1.67784217046214e-06,0.0323737258468794,1,TRUE,FALSE,FALSE,TRUE
"STAT3","other_T",-0.0889150005261745,0.00467993400784161,0.250762640444479,1,0.557170858368887,1,TRUE,FALSE,FALSE,TRUE
"STAT3","B",-0.104902571795947,0.0187133536079601,0.00975276687947612,1,0.00771394458441532,1,TRUE,FALSE,FALSE,TRUE
"STAT3","NK",-0.0904074885767789,-0.00867662590517893,0.190993301485902,1,0.818947802231682,1,TRUE,FALSE,FALSE,TRUE
"STAT3","CD14_Mono",-0.0463138974454543,0.240243408840645,0.264148720492555,1,6.56593565287521e-48,2.00924196913634e-43,TRUE,FALSE,FALSE,TRUE
"STAT3","CD16_Mono",-0.203179564710076,0.0586262090961067,0.00571014920447997,1,0.0629923552220153,1,TRUE,FALSE,FALSE,TRUE
"STAT3","DC",-0.121071233893159,0.150941381264359,0.0787260764352566,1,6.08768487754495e-08,0.00186289244937753,TRUE,FALSE,FALSE,TRUE
"STAT3","other",0.00775183487773967,0.207851099543177,0.103060669523472,1,5.68152031598582e-20,1.73860203189482e-15,TRUE,FALSE,FALSE,TRUE
"TP53","pbmc",0.0575447526105855,0.0197039137967654,4.9202434550715e-31,1.50564369968643e-26,3.88458217009101e-18,1.18872098986955e-13,TRUE,FALSE,FALSE,TRUE
"TP53","CD4_T",0.0541922719312947,NA,8.55580794376637e-11,2.61816278887195e-06,NA,NA,TRUE,FALSE,FALSE,TRUE
"TP53","CD8_T",0.0613786951186213,0.0230820809408388,3.35313236048608e-06,0.102609203363235,6.11895081682596e-05,1,TRUE,FALSE,FALSE,TRUE
"TP53","other_T",0.133064283465202,0.0293002509180325,2.63865977733782e-09,8.07456278463148e-05,0.00144350680273121,1,TRUE,FALSE,FALSE,TRUE
"TP53","B",0.0597460462876565,0.0266039194072205,0.000219085803067726,1,0.00571161560723633,1,TRUE,FALSE,FALSE,TRUE
"TP53","NK",0.111647773110886,0.0121703843813461,3.59097704263956e-09,0.000109887488481813,0.0906195363746894,1,TRUE,FALSE,FALSE,TRUE
"TP53","CD14_Mono",0.0332258755304062,0.00729935193254745,0.00855792129240485,1,0.434825241849903,1,TRUE,FALSE,FALSE,TRUE
"TP53","CD16_Mono",0.0204231424523166,0.058482465858227,0.644011623580753,1,0.00743574359825536,1,TRUE,FALSE,FALSE,TRUE
"TP53","DC",0.0458000266071724,0.000200686889351737,0.771788429288502,1,0.375277967198778,1,TRUE,FALSE,FALSE,TRUE
"TP53","other",0.0776035037253859,0.0303284405377405,0.00578401909343864,1,0.000120250133512253,1,TRUE,FALSE,FALSE,TRUE
"TSC1","pbmc",0.0812029793514791,0.0292251816255677,9.31310978879855e-53,2.84990472647024e-48,3.8829623284271e-39,1.18822530212198e-34,TRUE,FALSE,FALSE,TRUE
"TSC1","CD4_T",0.102053877577831,NA,1.18544502603334e-25,3.62758032416462e-21,NA,NA,TRUE,FALSE,FALSE,TRUE
"TSC1","CD8_T",0.088073774608573,0.01710227254617,4.11074710680662e-08,0.00125792972215389,0.00876884362237326,1,TRUE,FALSE,FALSE,TRUE
"TSC1","other_T",0.0430129178067477,0.0270220658823395,0.0462344092384679,1,0.00908359763363249,1,TRUE,FALSE,FALSE,TRUE
"TSC1","B",0.0631087552150299,0.0224711432429673,3.77870234992545e-05,1,0.00173236013763616,1,TRUE,FALSE,FALSE,TRUE
"TSC1","NK",0.0350035845618101,0.0276963969336424,0.0466510318465872,1,0.00345751407080383,1,TRUE,FALSE,FALSE,TRUE
"TSC1","CD14_Mono",0.0529230704778255,0.0185027341010127,2.38419970791886e-05,0.729588952620249,0.00839446094957322,1,TRUE,FALSE,FALSE,TRUE
"TSC1","CD16_Mono",0.0525509551155418,0.0552064649821625,0.076272958590799,1,0.00287100069233993,1,TRUE,FALSE,FALSE,TRUE
"TSC1","DC",0.00107838179249607,0.0481226461218291,0.949104970834873,1,0.00558060706893565,1,TRUE,FALSE,FALSE,TRUE
"TSC1","other",0.0290596178472003,0.0467238619922133,0.107766008768032,1,8.98553199615124e-08,0.00274966264614224,TRUE,FALSE,FALSE,TRUE
"TSC2","pbmc",0.0431622092066703,0.0283654797663392,2.30674723247884e-27,7.05887720610851e-23,7.06066458306582e-59,2.16063396906397e-54,TRUE,FALSE,FALSE,TRUE
"TSC2","CD4_T",0.0519032945626116,NA,5.29608807118115e-15,1.62065591066214e-10,NA,NA,TRUE,FALSE,FALSE,TRUE
"TSC2","CD8_T",0.0380495283323077,0.0278187808031901,0.000285797563756204,1,5.92622426029491e-10,1.81348388589285e-05,TRUE,FALSE,FALSE,TRUE
"TSC2","other_T",0.0513701784046109,0.0190869870415553,0.0186262981588468,1,0.00545387435679162,1,TRUE,FALSE,FALSE,TRUE
"TSC2","B",0.0187627014094217,0.0110744268770498,0.128066913833849,1,0.0358267482262191,1,TRUE,FALSE,FALSE,TRUE
"TSC2","NK",0.0449439745823824,0.0223430727451726,0.00659621493931762,1,0.0202149570148746,1,TRUE,FALSE,FALSE,TRUE
"TSC2","CD14_Mono",0.0179880521043552,0.0159270969819083,0.0488527874233684,1,0.00665887919514657,1,TRUE,FALSE,FALSE,TRUE
"TSC2","CD16_Mono",0.0151943130884694,0.0152683753098408,0.535080496482713,1,0.168411260040351,1,TRUE,FALSE,FALSE,TRUE
"TSC2","DC",0.0647345676426292,0.00410999050994469,0.0804843989066112,1,0.928312866262306,1,TRUE,FALSE,FALSE,TRUE
"TSC2","other",0.04407744024291,0.0250382807366777,0.00476781682464809,1,5.11676671349003e-05,1,TRUE,FALSE,FALSE,TRUE
