"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint","celltype","sample","info"
"RAF_UP.V1_UP",0.012368076863235,0.173776987640476,0.380730400722792,0.593587364689195,1.40748936553826,186,"S100A9;TNFAIP8;S100A8;PRKCH;ARHGEF3;AAK1;XYLT1;ARHGAP26;MAP3K5;RNF144A;SEPTIN6;ITGA6;KAT2B;FCHSD2;CSGALNACT1;CD44;MICU1;SYNE2;TBC1D2B;COTL1;PDE4D;CERK;CREB3L2;SKAP2;ACSL1;HEG1;MICAL2;NMT2;FYN","Long-term Post-flight","other T","PBMC","C6"
"RAPA_EARLY_UP.V1_DN",0.498181818181818,0.807317299656421,0.114750719227023,0.416598652965482,0.973934380686105,168,"SNTB1;FTO;FAM168A;SOS1;HLCS;PRKCE;WNK1;MICU1;GBF1;MINK1;KDM4B;KCNQ1;ARHGAP4;SELPLG;GRN;GDPD5;EDRF1;PLXND1;WDTC1;CNKSR2;NCF1;ASMTL;IL11RA;CRY2;GALNS;HLA-E;STK11;ENG;THOC1;NAGPA;HDAC6;KDM4A;XRCC1;NFE2L1;TACR1;TAF4;COBLL1;BCAT2;NUMA1;ESRRA","Long-term Post-flight","other T","PBMC","C6"
"RAPA_EARLY_UP.V1_UP",0.0147112793769715,0.173776987640476,0.380730400722792,0.607139188031634,1.40707545636324,152,"CCDC88C;CASK;KMT2A;ADGRE5;GMDS;NCOA1;NUDCD3;SLC25A42;ICOS;PDE4A;PPP3CA;GRIN2C;CTSD;TIMP2;CTBP2;LINC01138;RAD9A;FPGS;ASTN2;TNFAIP2;ITGA5;ANK1;ISG20L2;CDK10;PTPRD;GATB;TLE3;P2RX7;HERC3;PIP5K1B;KCNC4;NRL","Long-term Post-flight","other T","PBMC","C6"
"RELA_DN.V1_DN",0.201238390092879,0.568235294117647,0.173747838999571,0.501008055167853,1.13078734344895,123,"CD247;RASA3;HDAC9;MBNL2;RHOH;DNMT3A;CUBN;TRAF1;RAB30;CCNK;TXNRD2;RFX2","Long-term Post-flight","other T","PBMC","C6"
"RPS14_DN.V1_UP",0.425373134328358,0.766435506241332,0.127505315300183,0.423834297823166,1.00172806072099,185,"ARHGEF3;MYO1F;ARHGAP25;ITGAL;SMAD3;MDFIC;CTSS;CYFIP2;MNDA;AIF1;CD14;SORL1;ATP8B1;FRY;PDE4D;MARCKS;NCF2;PTPRE;GNB5;ADA2;MS4A6A;KCTD12;HCK;ACTA2;PILRA;CSTA;SH3BP5;HLA-DQB1;MX2;BIRC3;PID1;IGSF6;ITGAM;TGFBI;DMXL2;RBM47;CYP1B1;CTSH;TNFAIP2;CLEC7A;CR1;KYNU;F5;RAB31","Long-term Post-flight","other T","PBMC","C6"
"SIRNA_EIF4GI_DN",0.96969696969697,0.974854932301741,0.0619762736001998,0.338429708289836,0.736248920009054,91,"CDR2;ATP2B4;FCHSD2;ENOX2;SMURF2;MBD5;STAG1;MYO19;VPS54;LOXL2;SUPT20H;C2CD2;PDHX;SLC31A1;MAN2A2;NEDD4;HSD11B1;AKAP10;DUSP4;SNX10;HSD17B12;MAP4K3","Long-term Post-flight","other T","PBMC","C6"
"SNF5_DN.V1_DN",0.00946454617116946,0.172248476588031,0.380730400722792,0.627409219401425,1.44571406292064,140,"SLCO3A1;XIST;GATAD2A;ANK3;RFX3;CSGALNACT1;CCR7;ACYP2;SLC16A3;PTPRK;CHODL;PRKAR1B;PDLIM5;SYTL2;MALAT1;RPS6KA2;IL3RA;ESR1;NNMT;PANX1;FLT4;RAB3GAP2;PPBP","Long-term Post-flight","other T","PBMC","C6"
"SRC_UP.V1_DN",0.27208480565371,0.602082540890072,0.158514105424824,0.47107606269817,1.08775683537219,159,"S100A9;DPYD;ARL15;MACF1;ABHD3;RAP1A;RFTN1;CDK11B;CPPED1;C1orf159;RNF168;FAM153A;STARD3;LIG1;GTF2H2;LFNG;POLR1A;TRIM73;RCBTB2;ZNF789;SPDYE1;CARNMT1;MIR17HG;RTN4IP1;ZNF3;MEGF6;UHRF1;ZNF135","Long-term Post-flight","other T","PBMC","C6"
"SRC_UP.V1_UP",0.514492753623188,0.807317299656421,0.112378519110475,0.4228938616127,0.975593868547366,161,"BCL2;PIK3R5;AGPAT3;ACAP1;TAF3;BAHD1","Long-term Post-flight","other T","PBMC","C6"
"STK33_DN",0.0404075599606679,0.320931800740374,0.321775918075361,0.481327883274482,1.19034662190328,269,"RIPOR2;BCL2;TNFAIP8;AFF3;MAPKAP1;CYFIP2;FAM117B;RNF144A;RETREG1;MPRIP;TANC2;NDFIP1;ACAP1;NLRC3;CARS2;SIDT2;RASGRP1;VCL;VKORC1L1;SLC8A1;MAPK14;MICAL2;EEF2K;DGKZ;CDK8;ST6GALNAC3;LRRK2;PLXND1;PRAM1;NHSL2;TMEM243;PARP16;ASL;ARMH1;ENDOD1;ADCY3;C16orf74;TNKS;ABLIM1;MATN2;CHPT1;LINC00926","Long-term Post-flight","other T","PBMC","C6"
